question,answer,pair_count,total_cooccurrence,avg_cooccurrence,std_cooccurrence
budget,bebas,435,3822.529,8.7874,7.0044
budget,high,443,4165.806,9.4036,8.941
budget,low,417,3299.2285,7.9118,7.3555
budget,mid,441,3726.1655,8.4494,8.5268
caffeine,non-kafein,439,4370.0805,9.9546,15.1502
caffeine,rendah,409,4440.7,10.8575,11.745
caffeine,sedang,353,3463.37,9.8112,5.6873
caffeine,tinggi,345,2739.5785,7.9408,6.7916
mood,energi,359,2595.984,7.2312,4.5229
mood,manis,387,3809.77,9.8444,17.1135
mood,menyegarkan,468,4984.685,10.651,11.1146
mood,rileks,372,3623.29,9.74,9.1397
taste,asam,429,3879.146,9.0423,11.4836
taste,manis,36,4077.598,113.2666,17.5388
taste,netral,231,3682.179,15.9402,6.8681
taste,pahit,190,3374.806,17.7621,8.2327
temperature,bebas,407,4453.5625,10.9424,10.9364
temperature,dingin,472,6309.614,13.3678,12.9133
temperature,panas,393,4250.5525,10.8157,9.789
texture,bubbly,464,4050.851,8.7303,6.7793
texture,creamy,389,4680.5075,12.0322,17.6281
texture,heavy,358,2062.7375,5.7618,4.7524
texture,light,448,4219.633,9.4188,7.0527
